product,url,alert_price
enlighten-quilt,"https://www.garagegrowngear.com/collections/gear/products/revelation-850fp-by-enlightened-equipment?variant=38072057004219",280
zenbivy-light-quilt,"https://www.garagegrowngear.com/products/2024-light-quilt-convertible-by-zenbivy?variant=46254190166203",150
